"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"W5JMEVTP","book","1941","Walton, Jesse M.","The Loyalist Quaker settlement, Pennfield, N.B., 1783","","","","","","Quakers, Loyalists","1941","2022-01-19 18:34:20","2022-01-19 18:34:20","","","","","","","","","","","","","[J. Walton]","[Aurora, ON]","English","","","Toronto Public Library, LAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7J29654","bookSection","1991","Robertson, Allen; Planter Studies Conference","To Declare and Affirm: Quaker Contributions to Planter Nova Scotia","Making Adjustments: Change and Continuity in Planter Nova Scotia, 1759-1800","978-0-919107-33-5","","","","Quaker; Planter Studies Conference (2nd : 1990 : Acadia University)","1991","2022-01-19 18:34:20","2022-01-19 18:34:20","","129-139","","","","","","","Planters studies series ; no. 2","","","","Acadiensis Press","Fredericton, NB","English","","","UNBF","","","","","","","","","","Conrad, Margaret","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCDA5QH8","journalArticle","1894","New Brunswick Historical Society","The Pennfield Records: A Book of Records of the Transactions and Proceedings of the Society of People Called Quakers, Who have Agreed to Settle Themselves on the River St. Johns in Nova Scotia","Collections of the New Brunswick Historical Society","","","","https://books.google.ca/books?id=7awx6oNmaVAC&dq=Victory%20Ascribed%20to%20God.%20a%20Sermon%20Delivered%20December%202%2C%201798%2C%20at%20Trinity%20Church%2C%20Saint%20John%2C%20on%20the%20Late%20Signal%20Success%20Granted%20to%20His%20Majesty's%20Arms%2C%20A&pg=PP469#v=onepage&q&f=false","Quakers","1894","2022-01-19 18:34:20","2022-01-19 18:34:20","","73-80","","","1-3","","","","","","","","","","","","","Toronto Public Library","","","","","","","","","","Vroom, J.","","","New Brunswick Historical Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TUEIT63","book","1986","Hoag, Joseph","The Journal of Joseph Hoag: A Quaker in Atlantic Canada as It Refers to His Visit (Travels in the Quaker Ministry) to Nova Scotia and New Brunswick 1801-1802","","","","","","Quaker","1986","2022-01-19 18:34:20","2022-01-19 18:34:20","","","22","","","","","","Canadian Quaker history newsletter supplement","39","","","Canadian Friends Historical Association","Toronto, ON","","","","UNBF, Legislative Library, Fredericton (1988)","","","","","","","","","","Densmore, Christopher; Calder, Doris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KA4T3TD","book","1992","Holmes, Theodore C.","Loyalists to Canada: The 1783 Settlement of Quakers and Others at Passamaquoddy","","978-0-89725-087-0","","","","Baptist, Quaker, Loyalists","1992","2022-01-19 18:32:36","2022-01-19 18:32:36","","","319","","","","","","","","","","Picton Press","Camden, ME","","","","UNBF, Legislative Library, Fredericton, MtA, Acadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
