"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7TTX5VTH","thesis","2009","Holtman, Catherine","Heart, Mind and Soul: Catholic Women and Social Action","","","","","https://login.proxy.hil.unb.ca/login?url=https://www-proquest-com.proxy.hil.unb.ca/docview/901455866?accountid=14611","Catholic, Women","2009","2022-01-19 18:32:56","2022-01-19 18:32:56","","","190","","","","","Heart, Mind and Soul","","","","","University of New Brunswick (Canada)","Fredericton, NB","English","","M.A.","UNBF","","","","","","/home/cvillami/Zotero/storage/G5FRNFC2/Holtman - 2009 - Heart, mind and soul Catholic women and social ac.pdf","","","Philosophy; religion and theology; Social sciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRPU9AG5","thesis","1996","Losier, Mary J. O.","""Oui, Dieu Le Veut"": The Life and Times of Amanda Viger, Soeur Saint Jean-De-Goto","","","","","https://login.proxy.hil.unb.ca/login?url=https://www-proquest-com.proxy.hil.unb.ca/docview/304331195?accountid=14611","Catholic, Women religious, Medicine","1996","2022-01-19 18:32:56","2022-01-19 18:32:56","","","186","","","","","","","","","","University of New Brunswick (Canada)","Fredericton, NB","English","","M.A.","UNBF","","","","","","/home/cvillami/Zotero/storage/KE7Q3ZZ3/Losier - 1996 - Oui, dieu le veut The life and times of Amanda .pdf","","","Social sciences; New Brunswick; Language; literature and linguistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F2WZZEHG","journalArticle","1972","Little, John I.","New Brunswick Reaction to the Manitoba Schools Question","Acadiensis","","","","https://journals-lib-unb-ca.proxy.hil.unb.ca/index.php/Acadiensis/article/view/11302/12052","Catholic, Schools","1972","2022-01-19 18:32:56","2022-01-19 18:32:56","","43-58","","2","1","","","","","","","","","","","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWTK2NLT","book","1981","","St. Alphonsus Church, Hampton, N.B., Dedicated May 31, 1981","","","","","","Catholic","1981","2022-01-19 18:32:56","2022-01-19 18:32:56","","","31","","","","","","","","","","The Parish","Hampton, NB","","","","UNBF, Legislative Library, Fredericton","","","","","Cover title","","","","New Brunswick; Church history; Kings County Hampton; Catholic Church History","Logie, Mildred","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAS275F7","journalArticle","2016","Ludlow, Peter","Raising the Cry of Nationality","Island Magazine","","03848175","","","Catholic, Acadian, Irish, Scots, Prince Edward Island","2016","2022-01-19 18:32:56","2022-01-19 18:32:56","","2-10","","80","","","","","","","","","","","","","","UNBF, NBM, MtA, Acadia, Dalhousie","","","","","<p>Accession Number: 120582479; Ludlow, Peter; Source Info: Fall/Winter2016, Issue 80, p2; Historical Period: 1772 to 1912; Subject Term: CATHOLIC Church -- Canada -- History; Subject Term: PRINCE Edward Island -- History -- 20th century; Subject Term: CATHOLIC bishops -- Appointment, call, & election; Subject Term: IRISH -- Canada; Subject Term: SCOTS -- Canada; Subject Term: MARITIME Provinces -- Religion; Number of Pages: 9p; Document Type: Article</p>; <p>Accession Number: 120582479; Ludlow, Peter; Source Info: Fall/Winter2016, Issue 80, p2; Historical Period: 1772 to 1912; Subject Term: CATHOLIC Church -- Canada -- History; Subject Term: PRINCE Edward Island -- History -- 20th century; Subject Term: CATHOLIC bishops -- Appointment, call, & election; Subject Term: IRISH -- Canada; Subject Term: SCOTS -- Canada; Subject Term: MARITIME Provinces -- Religion; Number of Pages: 9p; Document Type: Article</p>","","","CATHOLIC bishops -- Appointment, call, & election; CATHOLIC Church -- Canada -- History; IRISH -- Canada; MACDONALD, James Charles; MARITIME Provinces -- Religion; O'LEARY, Henry; PRINCE Edward Island -- History -- 20th century; SCOTS -- Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PVA6FMIK","bookSection","2015","MacDonald, Heidi; Burton, Emily","Avoiding and Exaggerating Renewal: Maritime Catholic Newspapers' Reporting on Women Religious, 1962-1975","Understanding the Consecrated Life in Canada: Essays on Contemporary Trends","978-1-77112-137-8","","","","Women religious, Catholic, Newspapers","2015","2022-01-19 18:32:56","2022-01-19 18:32:56","","153-163","","","","","","","","","","","Wilfred Laurier U.P.","Waterloo, ON","English","","","UNBSJ, MtA, SMU","","","","","","","","","","Zuidema, Jason","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYPPN3CW","book","1874","Maher, Henry; Great Britain. Privy Council; Portland (N.B.). Town Council","New Brunswick School Act, the Argument Before the Privy Council of Great Britain: In the Judicial Committee of the Privy Council, July 17, 1874 ... Maher vs. the Town Council of the Town of Portland","","","","","https://archive.org/details/cihm_09657","Catholic, Schools","1874","2022-01-19 18:32:56","2022-01-19 18:32:56","","","14","","","","","","CIHM/ICMH microfiche series ; no. 09657","","","","N.p.","","English","","","Dalhousie, UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRSNUJU4","book","1939","Université Saint-Joseph","Album Historique Publie a l'occasion des fetes du 75e anniversaire 13-14 Juin 1939/Historical album Published on the occasion of the 75th Anniversary June 13-14 1939","","","","","","Catholic","1939","2022-01-19 18:32:56","2022-01-19 18:32:56","","","56","","","","","","","","","","Université Saint-Joseph","Saint Joseph, NB","French","","","UdeM, BAnQ, Toronto Public Library","","","","","","/home/cvillami/Zotero/storage/L23HP849/Album-Historique-Publie-a-loccasiondes-fetes-du-75e-anniversaire-13-14-Juin-1939Historical-albu.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYW4HCER","journalArticle","1998","Vautour, Thérèse","Historique des Religieuses de Notre-Dame-du-Sacré-Coeur","Les Cahiers. Societé historique-acadienne","","","","https://societehistoriqueacadienne.files.wordpress.com/2018/04/2904_total.pdf","","1998-12","2022-01-19 18:32:56","2022-01-19 18:32:56","","206-221","","4","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RERJ9ZCJ","book","1980","Michaud, Guy R.","La Paroisse de l'Immaculée Conception, Edmundston, N.-B., 1880-1980","","","","","","Catholic, Parish history","1980","2022-01-19 18:32:56","2022-01-19 18:32:56","","","455","","","","","","","","","","Guy R. Michaud","Edmundston, NB","French","","","Legislative Library, Fredericton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8KQRCY63","thesis","1992","Boucher, Neil","Acadian Nationalism and the Episcopacy of Msgr. Edouard-Alfred Leblanc, Bishop of Saint John, New Brunswick (1912-1935): A Maritime Chapter of Canadian Ethno-Religious History","","","","","http://hdl.handle.net/10222/55345","Catholic, Clergy","1992","2022-01-19 18:32:56","2022-01-19 18:32:56","","","385","","","","","Acadian Nationalism and the Episcopacy of Msgr. Edouard-Alfred Leblanc, Bishop of Saint John, New Brunswick (1912-1935)","","","","","Dalhousie University","Halifax, NS","","","Ph.D.","UdeM","","","","","","/home/cvillami/Zotero/storage/X5ALFKI5/results.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4646B75G","thesis","1940","LeGresley, Léandre","Le Facteur religieux en Acadie","","","","","","Catholic","1940","2022-01-19 18:32:56","2022-01-19 18:32:56","","","165","","","","","","","","","","Université Sacré-Coeur","Bathurst-Ouest, NB","","","Ph.D.","UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
