"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MDYG7W58","book","1888","Campbell, Wilfred","Snowflakes and sunbeams.","","","","","https://archive.org/details/cihm_05696","","1888","2019-02-25 20:34:01","2019-02-25 20:34:01","2017-02-25 00:52:31","","35","","","","","","","","","","St. Croix Courier","St. Stephen, N.B.","English","","","Metro Toronto Library, Canadian History Dept.","NBSaM","Open WorldCat","","OCLC: 56690085","<p>Found in McFarlane who gives St Stephen as place of pub.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RPTYP7R","book","0000","Mechanics' Institute of Saint John (N.B.)","Mechanics' Institute Hall, Monday evening, May 20: fourth night of the mammoth troupe of the world ... fourth appearance in St. John of Rumsey & Newcomb's Minstrels ...","","978-0-665-60147-7","","","","","0000","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","Mechanics' Institute Hall, Monday evening, May 20","","","","","publisher not identified","Saint John, N.B.?","English","","","","","Open WorldCat","","OCLC: 18809812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"654RQ94W","book","0000","Mechanics' Institute of Saint John (N.B.)","Mechanics' Institute Hall, Tuesday evening, May 21: fifth night of this unrivalled troupe of artistes pronounced by the press and public ... Rumsey & Newcomb's Minstrels ...","","978-0-665-60148-4","","","","","0000","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","Mechanics' Institute Hall, Tuesday evening, May 21","","","","","publisher not identified","Saint John, N.B.?","English","","","","","Open WorldCat","","OCLC: 18810135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F2C8J5DG","book","1884","Pengilly, Mary Huestis; Brown, Stacey; Thorton, K. D; Project Gutenberg","Diary written in the provincial lunatic asylum","","978-1-5197-7125-4","","","","","1884","2019-02-25 20:34:01","2019-02-25 20:34:01","","","30","","","","","","","","","","Published by the author","n.p.","English","","","","","Open WorldCat","","OCLC: 957001781","<p>in McF... Other titles by author pub in Lowell, Mass.&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58Y6WVJU","book","1885","Pengilly, Mary Huestis","Sequel to Diary written in the provincial Lunatic Asylum of New Brunswick, for the Benefit of those yet in Prison.","","","","","","","1885","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","","","","","","","","","","","","","","","","<p>in McF</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BQFVCBP","book","","Perley, Moses Henry","Report on the condition of the Indian Tribes in New Brunswick.","","","","","","","n.d.","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","","","","","","n.p.","n.p.","","","","","","","","","<p>in McF</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SH5GX9UA","book","1909","Raymond, W. O","General Monckton's expedition to Saint John in 1758: story of old Fort Frederick in Carleton","","978-0-665-98595-9","","","","","1909","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","General Monckton's expedition to Saint John in 1758","","","","","publisher not identified","New Brunswick?","English","","","","","Open WorldCat","","OCLC: 150624540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANIVV875","book","0000","Raymond, W. O","Earliest route of travel between Canada and Acadia, olden-time celebrities who used it","","","","","","","0000","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","","","","","","publisher not identified","Toronto?","English","","","","","Open WorldCat","","OCLC: 433956111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCND9576","book","1983","Diocesan Church Society of New Brunswick; Raymond, W. O","Diocesan Church Society report for 1897: part II: the progress of the Church in the seven rural deaneries of the Diocese of Fredericton, being the addresses delivered at the last anniversary meeting of the Diocesan Church Society held in the church hall in Fredericton, on Thursday, October 7th, 1897.","","","","","","","1983","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","Diocesan Church Society report for 1897","","","","","publisher not identified","Fredericton, N.B.?","English","","","","","Open WorldCat","","OCLC: 499482666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8UAM4UT","book","1876","Sommerville, William","Baptismal immersion not of God: arguments pro and con","","978-0-665-34996-6","","","","","1876","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","Baptismal immersion not of God","","","","","Printed for the editor by McKillop & Johnston","St. John, N.B.","English","","","","","Open WorldCat","","OCLC: 12374910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTGVR4QS","book","1844","Toldervy, James B","Report [of investigations in regard to the existence of leprosy in New Brunswick, prepared by a commission appointed in 1844.","","","","","","","1844","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","","","","","","n.p.","N.p.","","","","","","","","","<p>in McF</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHZPPS4Z","book","2010","Wood, John","Statistics from the 1851 and 1871 Sunbury County census reports","","","","","","","2010","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","","","","","","The author","Place of publication not identified","English","","","","","Open WorldCat","","OCLC: 817541392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
