"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CPLIKLRM","book","1930","","Wilmot Church of the United Church of Canada Fredericton, NB Baccalaureate service","","","","","","","1930","2022-01-19 18:34:27","2022-01-19 18:34:27","","","4","","","","","","","","","","N.p.","","","","","PANB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZPDHV94","book","1975","","History of St. Martins Pastoral Charge, the United Church of Canada","","","","","","","1975","2022-01-19 18:34:27","2022-01-19 18:34:27","","","140","","","","","","","","","","N.p.","","","","","NBM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SWQ3BLC","book","1980","Gregg, Ellen","Kirk-Mccoll 1785-1980: 195 Years of Christian Witness","","","","","","","1980","2022-01-19 18:34:27","2022-01-19 18:34:27","","","166","","","","","","","","","","Print n' Press Limited","St. Stephen, NB","","","","PANB, UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGDIDNP3","book","1977","Aiton, Grace; Thompson, James M.; Mills, Anne; Thompson, Winnifred C.","History of St. Paul's United Church Sussex, N.B. 150 years in two sections: Section 1 1827-1947, Section 2 1947-1977","","","","","","United Church, Church history, Sussex NB","1977","2022-01-19 18:34:27","2022-01-19 18:34:27","","","111","","","","","","","","","","Maritime Publishing Ltd.","Sussex, NB","","","","KL, NBM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEES36CY","book","1928","Lemnot, James M.; McMullen, William E.","Wilmot United Church, Fredericton, N.B., 1791-1928 : An Historical Account of Wilmot Church of the United Church of Canada, Formerly Known as the Fredericton Methodist Church, Specially Prepared to Commemorate the Seventy-Fifth Anniversary of the Reopening of the Church in the Year 1852 After the Great Fire which Occurred in the City of Fredericton, New Brunswick, in the Year 1850","","","","","","Methodist, United Specially prepared to commemorate the Seventy-Fifth Anniversay of the reopening of the Church in the year 1852 after the Great Fire which occurred in the City of Fredericton , New Brunswick, in the year 1850","1928","2022-01-19 18:34:27","2022-01-19 18:34:27","","","","","","","","","","","","","Wilmot United Church","Fredericton, NB","English","","","UNBF, NBM, MtA","","","","","","/home/cvillami/Zotero/storage/YQSPBRWX/An-Historical-Account-of-Wilmot-Church-of-the--United-Church--of-Canada-formerly-know-as-the-Fr.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3YS87QU","book","1978","MacLeod, Alec","Recall and Rejoice: A History of Nashwaaksis United Church","","","","","","","1978","2022-01-19 18:34:27","2022-01-19 18:34:27","","","55","","","","","","","","","","N.p.","[Fredericton, NB]","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDRFGT85","book","1983","MacLeod, D. J.; MacFarlane, E. Leslie","Saint Paul's United Church history, 1932-1982","","","","","","","1983","2022-01-19 18:34:27","2022-01-19 18:34:27","","","85","","","","","","","","","","N.p.","","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLYQSDSJ","book","1925","","Inaugural Service of the Maritime Conference of the United Church of Canada, Charles Fawcett Memorial Hall Sackville N. B., Tuesday, September 1, 1925 at 7:45 pm","","","","","","United Church","1925","2022-01-19 18:34:27","2022-01-19 18:34:27","","","10","","","","","","","","","","[United Church of Canada, Maritime Conference]","[Sackville, NB]","","","","Legislative Library, Fredericton","","","","","Cover title","","","","United Church of Canada; Anniversaries, etc; Liturgy","United Church of Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I54CGF4R","book","1969","","United Church of Canada, Florenceville, N.B., Celebrates the 100th Anniversary of the Erection of the Church Building, Sunday, November 2nd, 1969, 11:30 am","","","","","","United Church (Florenceville, N.B.)","1969","2022-01-19 18:34:27","2022-01-19 18:34:27","","","32","","","","","","","","","","N.p.","[Florenceville, NB]","","","","Legislative Library, Fredericton, MtA, AST Atlantic School of Theology","","","","","At head of title: 1869-1969","","","","New Brunswick; Church history; United Church of Canada","United Church of Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMYI9G8W","book","1970","","A History of the Scotch Colony, Victoria County, New Brunswick 1873-1969","","","","","","United Church, Perth-Andover, Kincardineshire, Aberdeenshire","1970","2022-01-19 18:34:27","2022-01-19 18:34:27","","","131","","","","","","","","","","Andover- Kincardine Pastoral Charge, United Church of Canada","[Perth, NB]","","","","UNBF, Legislative Library, Fredericton, NBM","","","","","","/home/cvillami/Zotero/storage/P3B3YPPG/A-History-of-the-Scotch-Colony-Victoria-County-New-Brunswick-1873-1969-Andover--Kincardine-Past.html","","","","United Church of Canada. Andover-Kincardine Pastoral Charge Historical Committee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"US9LPBRK","book","1985","United Church of Canada. St. Andrew","A History of St. Andrew's United Church, the United Church of Canada, Tabusintac, New Brunswick","","","","","","(Tabusintac N.B.)","1985","2022-01-19 18:34:27","2022-01-19 18:34:27","","","64","","","","","","","","","","Walco Print & Litho","Chatham, NB","English","","","NBM, MtA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rev.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRUCXKNX","book","1949","Aiton, L. Grace","History of St. Paul's United Church, Sussex, N.B.","","","","","","United Church, Sussex NB, Church history","1949","2022-01-19 18:34:27","2022-01-19 18:34:27","","","51","","","","","","","","","","Tribune Press","Sackville, NB","English","","","UNBF, PANB, NBM","","","","","","/home/cvillami/Zotero/storage/TSSR4NJE/History-of-St-Pauls-United-Church-Sussex-NB-Aiton-Grace.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XKB338FP","book","1984","United Church Home for Senior Citizens","Sackville Reminiscences","","","","","","(Sackville N.B.)","1984","2022-01-19 18:34:27","2022-01-19 18:34:27","","","35","","","","","","","","","","[United Church Home for Senior Citizens]","Sackville, NB","English","","","UNBF, MtA","","","","OCLC: 71763665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJUNMYUA","book","1965","United Church of Canada; Board of Evangelism and Social Service","Tantramar Haven, 111 East Main Street, Sackville, New Brunswick: A Home for Senior Citizens: Under the Auspices of the Board of Evangelism and Social Service, the United Church of Canada","","","","","","","1965","2022-01-19 18:34:27","2022-01-19 18:34:27","","","8","","","","","","","","","","N.p.","[Sackville, NB]","English","","","LAC","","","","OCLC: 62227018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBJ26RX3","book","1977","Squires, Austin W.","The Wilmot United Church The 125th Anniversary of the Church Building and a Historical Account of the Congregation 1791-1977","","","","","","United church","1977","2022-01-19 18:34:27","2022-01-19 18:34:27","","","60","","","","","","","","","","Wilmot United Church","Fredericton, NB","English","","","UNBF, KL, NBM, Legislative Library, Fredericton","","","","","","/home/cvillami/Zotero/storage/VU3ASSCW/The-Wilmot-United-Church-The-125th-Anniversary-of-the-Church-Building-and-a-Historical-Account-.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KF7BEN8B","book","1979","Walkington, Douglas","The Congregational Churches of Canada: A Statistical and Historical Summary","","","","","","Congregational","1979","2022-01-19 18:34:27","2022-01-19 18:34:27","","","","","","","","","","","","","United Church Archives","Toronto, ON","English","","","AST Atlantic School Theology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RL3TPZW5","book","1994","Dobson, Shirley A.","The Word and the Music The Story of Moncton's Central United Church and its Methodist Roots","","978-0-919488-64-9","","","","Methodist, United Church","1994","2022-01-19 18:34:27","2022-01-19 18:34:27","","","280","","","","","","","","","","Central United Church","Moncton NB","English","","","UNBF","","","","","","/home/cvillami/Zotero/storage/F2RLMHWY/The-Word-and-the-Music-The-Story-of-Monctons-Central-United-Church-and-its-Methodist-Roots-Dobs.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXL8SM3C","journalArticle","1965","Anonymous","Reports on Archives","Bulletin of the United Church of Canada","","","","https://login.proxy.hil.unb.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=46921494&site=ehost-live&scope=site","Brief reports of the United Church Archives Committees: those of the Central Archives at Victoria University (Toronto), the Alberta Conference, the British Columbia Conference, the Hamilton Conference, the London Conference, the Maritime Conference, and the Montreal and Ottawa Conference. The reports include brief statements of acquisitions in the past year, which have been ""about normal."" Most material is in the form of church records, although the Central Archives are building substantial holdings of church newspapers and private papers.","1965-01","2022-01-19 18:34:27","2022-01-19 18:34:27","","34-42","","","18","","Bulletin of the United Church of Canada","","","","","","","","","","","UNBF","","","","","<p>Accession Number: 46921494; Unsigned; Source Info: 1965, Vol. 18, p34; Historical Period: 1965; Subject: CANADA; Number of Pages: 9p; Document Type: Article</p>; <p>Accession Number: 46921494; Unsigned; Source Info: 1965, Vol. 18, p34; Historical Period: 1965; Subject: CANADA; Number of Pages: 9p; Document Type: Article</p>","","","CANADA; United Church Archives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95XVSNQ4","book","1979","Archibald, Frank E.","The Touch That Heals","","","","","","United church, Sermons","1979","2022-01-19 18:34:27","2022-01-19 18:34:27","","","55","","","","","","","","","","Lancelot Press","Hantsport, NS","","","","Legislative Library, Fredericton, LAC","","","","","","","","","United Church of Canada; Sermons; Sermons, Canadian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E5G7XPZ","book","","","Stormy Seas","","","","","","Poverty, Catholic, United Church (Saint John, N. B.)","","2022-01-19 18:34:27","2022-01-19 18:34:27","","","29","","","","","","","","","","Urban Core Support Network","Saint John, NB","","","","Legislative Library, Fredericton, LAC","","","","","","","","","New Brunswick; Poor; Poverty","Urban Core Support Network; Sisters of Charity of the Immaculate Conception; Status of Women Canada; Centenary-Queen Square United Church","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VE2NDMF","book","1966","Kingston, Paul","History Wesley Memorial Church The United Church of Canada Moncton, N.B. 75th Anniversary 1891-1966 Anniversary Sunday October 30th, 1966","","","","","","Foreword by Rev. D.C. Boothroyd, Minister. Published on the 75th anniversary of thi schurch","1966","2022-01-19 18:34:27","2022-01-19 18:34:27","","","11","","","","","","","","","","Wesley Memorial Church","Moncton, NB","English","","","UNBF","","","","","","/home/cvillami/Zotero/storage/IGMNFECB/History-Wesley-Memorial-Church-The-United-Church-of-Canada-Moncton-NB-75th-Anniversary-1891-196.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KNI3D6P","book","1882","Waits, E. Wallace","Our Home in Heaven; or, Thoughts for the Season of Solitude and Sorrow","","","","","https://www.canadiana.ca/view/oocihm.49680","St. Andrew's Church, Chatham, United","1882","2022-01-19 18:34:27","2022-01-19 18:34:27","","","148","","","","","","","","","","World Book and Job Printing Establishment","Chatham, NB","","","","UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NCGXZ5G","book","1987","Walker, Marti","Sailing Through Uncharted Seas 25th Anniversary 1962-1987 Maritime Conference United Church Women","","","","","","","1987","2022-01-19 18:34:27","2022-01-19 18:34:27","","","121","","","","","","","","","","N.p.","","English","","","AST Atlantic School of Theology","","","","","","/home/cvillami/Zotero/storage/K8MMYWNF/Sailing-Through-Uncharted-Seas--25th-Anniversary-1962-1987-Maritime-Conference-United-Church-Wo.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z7GY2MI5","book","1970","Archibald, Frank E.","Salute to Sid; the Story of Dr. Sidney Gilchrist","","","","","","Missions, Medicine, Angola, Biography","1970","2022-01-19 18:34:27","2022-01-19 18:34:27","","","127","","","","","","","","","","Lancelot Press","Windsor, NS","English","","","MtA, Acadia","","","","","","","https://books.google.ca/books?id=qzLlAAAAMAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R9IPCF7M","book","1949","Armstrong, Allan","Waweig United Church Through the Years, 1848-1948","","","","","","Waweig, Church history, United Church","1949","2022-01-19 18:34:27","2022-01-19 18:34:27","","","36","","","","","","","","","","N.p.","[Waweig, NB]","English","","","PANB, UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LDNEXH5","book","1961","Holm, Flemming","A History of the Charlo, New Mills and Jacquet River Congregations of the United Church of Canada","","","","","","","1961","2022-01-19 18:34:27","2022-01-19 18:34:27","","","59","","","","","","","","","","N.p.","[New Brunswick]","English","","","UNBF, Legislative Library Fredericton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29GTZGVG","book","1928","McMullen, William E.","Wilmot United Church, Fredericton, N.B., 1791-1928: An Historical Account of Wilmot Church of the United Church of Canada, Formerly Known as the Fredericton Methodist Church, Specially Prepared to Commemorate the Seventy-Fifth Anniversary of the Reopening of the Church in the Year 1852 After the Great Fire Which Occurred in the City of Fredericton, New Brunswick, in the Year 1850","","","","","","Methodist, Fredericton","1928","2022-01-19 18:34:27","2022-01-19 18:34:27","","","44","","","","","","","","","","McMurray Book and Stationery","[Fredericton, NB]","","","","UNBF, Legislative Library, Fredericton","","","","","","","","","New Brunswick; Church history; United Church of Canada; Methodist Church; Wilmot United Church (Fredericton, N.B.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BND4544F","journalArticle","1990","Rumscheidt, Barbara","Institutionalizing Christian Heterosexism in Maritime Conference of the United Church of Canada","Resources for Feminist Research","","07078412","","","Recounts how beginning in the mid-1980's the Maritime Conference of the United Church of Canada adopted policies instituting the exclusion of homosexuals from the ministry.","1990-03","2022-01-19 18:34:27","2022-01-19 18:34:27","","75-80","","3/4","19","","","","","","","","","","","","","UNBF","","","","","<p>Accession Number: 45815647; Rumscheidt, Barbara; Source Info: 1990, Vol. 19 Issue 3/4, p75; Historical Period: 1984 to 1989; Subject Term: HOMOSEXUALITY; Subject Term: CLERGY; Subject: CANADA; Number of Pages: 6p; Document Type: Article</p>; <p>Accession Number: 45815647; Rumscheidt, Barbara; Source Info: 1990, Vol. 19 Issue 3/4, p75; Historical Period: 1984 to 1989; Subject Term: HOMOSEXUALITY; Subject Term: CLERGY; Subject: CANADA; Number of Pages: 6p; Document Type: Article</p>","","","CANADA; CLERGY; UNITED Church of Canada; HOMOSEXUALITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW8FX5J4","book","1967","Armstrong, Allan","Waweig United Church 1948-1967: Supplement to Through the Years 1848-1948","","","","","","Waweig, Church history, United Church","1967","2022-01-19 18:34:27","2022-01-19 18:34:27","","","29","","","","","Waweig United Church 1948-1967","","","","","[The Church]","[Waweig, NB]","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMY6V2Y2","book","1941","Baird, Frank","Salmon River One Hundred Years Ago: An Address at the Centennial Celebration of the Chipman United Church, July 6th, 1941","","","","","","United Church, Addresses, Church history","1941","2022-01-19 18:34:27","2022-01-19 18:34:27","","","20","","","","","Salmon River One Hundred Years Ago","","","","","Chipman United Church","Chipman, NB","English","","","UNBF, PANB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CXKCGPV","book","1979","Hoddinott, D. F.","From Whence We Came: Commemorating the One Hundred and Fiftieth Anniversary of St. James and St. John's United Church Newcastle, New Brunswick 1829-1979","","","","","","","1979","2022-01-19 18:34:27","2022-01-19 18:34:27","","","224","","","","","","","","","","[St. James and St. John's United Church]","[Newcastle, N.B.]","English","","","UNBF, PANB","","","","","","/home/cvillami/Zotero/storage/UZS2C4SM/From-Whence-We-Came-Commemorating-the-One-Hundred-and-Fiftieth-Anniversary-of-St-James-and-St-J.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9XB397G8","book","1979","Betts, E. Arthur","Good Questions","","","","","","United Church, Theology","1979","2022-01-19 18:34:27","2022-01-19 18:34:27","","","45","","","","","","","","","","Oxford St.","Halifax, NS","","","","AST Atlantic School Theology, NSLegLib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2WRDRK2","book","1995","Mair, Nathan H.","Fractured Vision: Social Concern and Evangelism in the Maritime Conference of the United Church of Canada: A History","","","","","","United Church","1995","2022-01-19 18:34:27","2022-01-19 18:34:27","","","136","","","","","","","","","","Archives Committee of the Maritime Conference of the United Church of Canada","Halifax, NS","","","","NBM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5ITU8XS","book","1934","","A selection of the Greetings Received by the Congregation of Saint Andrew's Kirk, Saint John, N.B.: On the Occasion of the One Hundred and Fiftieth Anniversary of the Establishment of the Church","","","","","","United Church (Saint John, N.B.)","1934","2022-01-19 18:34:27","2022-01-19 18:34:27","","","16","","","","","","","","","","The Kirk","Saint John, NB","","","","Legislative Library, Fredericton","","","","","","","","","New Brunswick; Church history; Saint John County; United Church of Canada History","Saint Andrew's United Church; Saint Andrew's Kirk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8T7BLHHE","book","1948","","Saint David's Church, Saint John, N. B., United Church of Canada: Celebration of One Hundredth Anniversary, December 1-12, 1948","","","","","","United Church (Saint John, N. B.)","1948","2022-01-19 18:34:27","2022-01-19 18:34:27","","","8","","","","","","","","","","Saint David's Church","Saint John, NB","","","","Legislative Library, Fredericton, UNBF, MtA","","","","","","","","","History; Church history; New Brunswick Saint John; United Church of Canada; Centennial celebrations, etc; Saint David's Church (Saint John, N. B.)","Saint David's Church","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWZPKS9P","book","2005","Saint David's United Church Historic Research Committee","Not by Bread Alone: The Story of St. David's United Church of Rothesay, New Brunswick, 1858-2000","","978-0-9739833-0-2","","","","United Church","2005","2022-01-19 18:34:27","2022-01-19 18:34:27","","","229","","","","","","","","","","St. David's United Church (Rothesay, New Brunswick)","Rothesay, NB","English","","","Legislative Library, Fredericton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5MGXE46I","book","2003","Smith, Ernest; Smith, Lillie","Wesley United Church: A Brief History of God's House in Lincoln, N.B.","","","","","","","2003","2022-01-19 18:34:27","2022-01-19 18:34:27","","","49","","","","","","","","","","N.p.","[Lincoln, N.B.]","","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XVRDGCI","book","2005","Scobie, Charles H. H.; United Church Home for Senior Citizens","The United Church Home for Senior Citizens: The First Fifty Years of ""The Drew""","","978-0-9738506-0-4","","","","United Church Home for Senior Citizens (Sackville N.B.)","2005","2022-01-19 18:34:27","2022-01-19 18:34:27","","","135","","","","","","","","","","United Church Home for Senior Citizens","Sackville, NB","English","","","MtA, LAC","","","","OCLC: 67858626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
