"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EMJTDL8I","bookSection","2017","Ross, David Ripley","The Atlantic Provinces","Canadian Mormons: History of the Church of Jesus Christ of Latter-day Saints in Canada","978-1-944394-23-3","","","","Mormons","2017","2022-01-19 18:32:08","2022-01-19 18:32:08","","455-486","","","","","","","","","","","Religious Studies Center, Brigham Young University","Provo, UT","","","","LAC","","","","","","","","","","Prete, Roy A.; Prete, Carma T.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIQ75N66","book","1993","Boudreau Sisson, Leatha","Historical Collections of Mormonism in Northeast","","978-0-9690355-4-1","","","","Mormonism","1993","2022-01-19 18:32:08","2022-01-19 18:32:08","","","159","","","","","","","","","","Sisson Genealogical Publications","Bristol, NB","English","","","UNBF, Legislative Library, Fredericton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYSFCCDM","book","1980","Nielsen, Grant L.","Joseph Russell, Miramichi Shipbuilder and Financier","","","","","","Mormonism","1980","2022-01-19 18:32:08","2022-01-19 18:32:08","","","45","","","","","","","","","","G. L. Nielsen","Brossard, QC","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHAEPFRW","book","1969","Hedengren, Paul; Russell, Brant; Church of Jesus Christ of Latter-Day Saint. Canadian Mission","The Great Canadian Mission: A Jubilee History","","","","","","Mormonism","1969","2022-01-19 18:32:08","2022-01-19 18:32:08","","","","","","","","","","","","","Canadian Mission","Brampton, ON","English","","","Queen's","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBVP4PBC","book","1982","Bitton, Davis","The Redoubtable John Pack: Pioneer, Proselyter, Patriarch","","","","","","Mormonism, Biography","1982","2022-01-19 18:32:08","2022-01-19 18:32:08","","","232","","","","","The redoubtable John Pack","","","","","Eden Hill","","English","","","American Antiquarian Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZNYYNKZ","book","1989","Sisson, Leatha B.","Fifty Three Years of Mormonism: Oh Say, What Is Truth","","978-0-9690355-3-4","","","","Mormonism","1989","2022-01-19 18:32:08","2022-01-19 18:32:08","","","12","","","","","","","","","","Sisson Genealogical Publications","Lakeville, NB","English","","","UNBF, LAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
