"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PHKYBPZN","journalArticle","2001","Robertson, Allen B.","New Voices on the Shores: Early Pennsylvania German Settlements in New Brunswick/German-Canadian Yearbook/ Deutschkanadisches Jahrbuch Vol. 16 [2000]","Journal of the Royal Nova Scotia Historical Society","","1486-5920","","https://login.proxy.hil.unb.ca/login?url=https://www-proquest-com.proxy.hil.unb.ca/docview/1018084408?accountid=14611","Lutheran","2001","2022-01-19 18:33:38","2022-01-19 18:33:38","","165-168","","","4","","","","","","","","","","","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHDIR495","bookSection","1986","Lehmann, Heinz; Bassler, Gerhard P.","German Pioneers in New Brunswick","The German Canadians, 1750-1937: immigration, settlement & culture","978-1-55081-308-1","","","https://www-deslibris-ca.proxy.hil.unb.ca/ID/415416","Lutheran","1986","2022-01-19 18:33:38","2022-01-19 18:33:38","","42-44","","","","","","","","","","","Jesperson Press","St. John's, NL","","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKB5LFD8","thesis","1965","DeWitt, Robert L.","The Lutheran Church in Fredericton","","","","","","Lutheran","1965","2022-01-19 18:33:38","2022-01-19 18:33:38","","","","","","","","","","","","","University of New Brunswick","Fredericton, NB","English","","M.A.","UNBF","","","","","","","","","Philosophy; religion and theology; Social sciences; New Brunswick","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
